fase;inde;iaa;ieg;ips;ida;ipv;ian;defasagem;ano;pedra;genero;instituicao_ensino;ano_nascimento;ipp;idade;escola_publica;genero_binario;perfil_defasagem
7;5,783;8,3;4,1;5,6;4,0;7,278;5,0;-1;2022;Quartzo;Menina;Escola Pública;2003;8,2;19;1;0;Moderada
7;7,055;8,8;5,2;6,3;6,8;6,778;10,0;0;2022;Ametista;Menina;Rede Decisão;2005;7,9;17;0;0;Em fase
7;6,591;0,0;7,9;5,6;5,6;7,556;10,0;0;2022;Ágata;Menina;Rede Decisão;2005;8,2;17;0;0;Em fase
7;5,951;8,8;4,5;5,6;5,0;5,278;10,0;0;2022;Quartzo;Menino;Rede Decisão;2005;5,6;17;0;1;Em fase
7;7,427;7,9;8,6;5,6;5,2;7,389;10,0;0;2022;Ametista;Menina;Rede Decisão;2005;8,4;17;0;0;Em fase
7;5,848;7,9;4,5;7,5;3,3;7,222;5,0;-1;2022;Quartzo;Menina;Escola Pública;2004;8,0;18;1;0;Moderada
7;6,818;0,0;8,4;7,5;7,6;7,667;5,0;-1;2022;Ágata;Menino;Rede Decisão;2004;8,3;18;0;1;Moderada
7;4,786;7,1;4,6;6,3;1,6;6,278;5,0;-1;2022;Quartzo;Menina;Escola Pública;2002;4,5;20;1;0;Moderada
7;8,109;8,8;9,5;7,5;6,7;9,5;5,0;-1;2022;Topázio;Menina;Escola Pública;2004;8,4;18;1;0;Moderada
7;5,784;8,3;5,2;5,0;4,1;7,056;5,0;-1;2022;Quartzo;Menina;Escola Pública;2004;6,8;18;1;0;Moderada
7;5,323;9,2;4,2;5,0;3,0;6,389;5,0;-1;2022;Quartzo;Menina;Escola Pública;2004;6,9;18;1;0;Moderada
7;4,832;0,0;4,0;6,9;1,5;6,389;10,0;0;2022;Quartzo;Menina;Escola Pública;2005;7,6;17;1;0;Em fase
7;6,902;7,9;7,4;7,5;4,7;8,056;5,0;-1;2022;Ágata;Menino;Escola Pública;2004;8,3;18;1;1;Moderada
7;6,793;7,9;8,3;7,5;4,0;7,75;5,0;-1;2022;Ágata;Menino;Escola Pública;2001;7,4;21;1;1;Moderada
7;7,783;8,8;10,0;7,5;7,3;7,292;5,0;-1;2022;Ametista;Menino;Escola Pública;2004;7,3;18;1;1;Moderada
7;6,112;7,9;8,3;5,0;3,5;6,333;5,0;-1;2022;Ágata;Menino;Escola Pública;2003;7,0;19;1;1;Moderada
7;8,068;8,8;10,0;7,5;7,8;8,292;5,0;-1;2022;Topázio;Menino;Escola Pública;2002;7,2;20;1;1;Moderada
7;7,226;6,3;8,7;6,3;9,0;6,875;5,0;-1;2022;Ametista;Menino;Escola Pública;2003;5,5;19;1;1;Moderada
7;7,665;7,9;9,5;7,5;8,0;7,0;5,0;-1;2022;Ametista;Menina;Escola Pública;2003;7,2;19;1;0;Moderada
7;7,535;7,1;10,0;6,3;7,8;7,167;5,0;-1;2022;Ametista;Menina;Escola Pública;2003;7,0;19;1;0;Moderada
7;6,945;9,6;9,2;7,5;3,8;7,25;5,0;-1;2022;Ágata;Menino;Escola Pública;2004;6,9;18;1;1;Moderada
6;7,474;8,3;7,4;8,1;6,7;8,833;5,0;-1;2022;Ametista;Menina;Rede Decisão;2005;7,5;17;0;0;Moderada
6;7,677;8,3;8,2;8,1;6,7;8,556;5,0;-1;2022;Ametista;Menino;Escola Pública;2005;8,5;17;1;1;Moderada
6;8,087;9,2;7,9;6,9;8,6;9,111;5,0;-1;2022;Topázio;Menina;Rede Decisão;2005;8,5;17;0;0;Moderada
6;7,979;8,3;8,3;8,8;6,9;9,667;5,0;-1;2022;Ametista;Menina;Escola Pública;2005;8,0;17;1;0;Moderada
6;8,677;9,6;8,8;10,0;8,0;10,0;5,0;-1;2022;Topázio;Menino;Escola Pública;2005;8,6;17;1;1;Moderada
6;7,124;0,0;7,6;8,1;8,0;9,111;5,0;-1;2022;Ametista;Menino;Rede Decisão;2005;8,7;17;0;1;Moderada
6;6,242;7,9;6,1;7,5;5,0;6,333;5,0;-1;2022;Ágata;Menina;Escola Pública;2005;7,2;17;1;0;Moderada
6;4,985;0,0;4,0;8,8;3,7;7,611;5,0;-1;2022;Quartzo;Menino;Escola Pública;2005;5,4;17;1;1;Moderada
6;7,605;8,8;6,4;7,5;7,5;7,333;10,0;0;2022;Ametista;Menina;Escola Pública;2006;7,3;16;1;0;Em fase
6;8,843;10,0;9,5;9,4;8,0;10,0;5,0;-1;2022;Topázio;Menina;Rede Decisão;2005;9,0;17;0;0;Moderada
6;7,37;8,8;5,2;8,8;6,1;7,944;10,0;0;2022;Ametista;Menina;Rede Decisão;2006;7,6;16;0;0;Em fase
6;4,952;0,0;4,6;7,5;4,8;6,0;5,0;-1;2022;Quartzo;Menina;Escola Pública;2005;6,2;17;1;0;Moderada
6;6,259;9,6;4,8;8,1;3,8;7,278;5,0;-1;2022;Ágata;Menino;Rede Decisão;2005;8,1;17;0;1;Moderada
6;8,965;10,0;9,6;9,4;8,5;10,0;5,0;-1;2022;Topázio;Menina;Rede Decisão;2005;9,0;17;0;0;Moderada
6;7,876;9,2;9,0;6,9;6,8;8,944;5,0;-1;2022;Ametista;Menina;Rede Decisão;2005;8,2;17;0;0;Moderada
6;4,95;0,0;5,4;5,0;5,9;5,222;5,0;-1;2022;Quartzo;Menina;Rede Decisão;2005;6,5;17;0;0;Moderada
6;8,523;9,2;8,9;7,5;8,6;9,833;5,0;-1;2022;Topázio;Menina;Rede Decisão;2005;8,9;17;0;0;Moderada
6;6,033;0,0;4,8;6,9;6,9;6,111;10,0;0;2022;Ágata;Menina;Rede Decisão;2006;7,8;16;0;0;Em fase
5;7,203;7,9;7,8;7,5;6,8;7,75;5,0;-1;2022;Ametista;Menina;Rede Decisão;2006;6,9;16;0;0;Moderada
5;5,581;9,2;6,1;5,0;5,6;4,375;5,0;-2;2022;Quartzo;Menino;Escola Pública;2005;4,5;17;1;1;Moderada
5;6,72;8,3;7,9;5,6;4,8;6,083;10,0;0;2022;Ágata;Menino;Rede Decisão;2007;5,7;15;0;1;Em fase
5;5,486;6,3;6,5;5,6;4,3;5,958;5,0;-1;2022;Quartzo;Menina;Escola Pública;2006;4,4;16;1;0;Moderada
5;5,542;5,0;5,9;7,5;3,0;7,292;5,0;-2;2022;Quartzo;Menina;Escola Pública;2005;5,5;17;1;0;Moderada
5;7,591;7,9;8,9;5,6;6,8;7,417;10,0;0;2022;Ametista;Menina;Rede Decisão;2007;6,2;15;0;0;Em fase
5;6,048;8,8;8,4;6,3;2,1;7,083;5,0;-2;2022;Ágata;Menina;Escola Pública;2005;5,2;17;1;0;Moderada
5;5,677;7,9;6,3;7,5;2,1;7,042;5,0;-2;2022;Quartzo;Menina;Escola Pública;2005;5,5;17;1;0;Moderada
5;8,006;6,7;8,4;7,5;8,1;8,5;10,0;0;2022;Ametista;Menina;Rede Decisão;2007;5,9;15;0;0;Em fase
5;6,304;7,5;7,4;7,5;3,9;7,042;5,0;-2;2022;Ágata;Menina;Escola Pública;2005;6,4;17;1;0;Moderada
5;7,138;7,5;8,4;7,5;7,8;7,542;2,5;-3;2022;Ametista;Menina;Escola Pública;2004;6,4;18;1;0;Severa
5;6,488;8,8;7,6;7,5;5,0;6,5;5,0;-2;2022;Ágata;Menina;Escola Pública;2005;5,4;17;1;0;Moderada
5;7,861;9,6;8,9;7,5;6,2;7,5;10,0;2;2022;Ametista;Menino;Rede Decisão;2009;6,3;13;0;1;Em fase
5;6,725;9,2;7,0;7,5;7,0;6,458;5,0;-2;2022;Ágata;Menino;Escola Pública;2005;4,6;17;1;1;Moderada
5;6,058;7,9;6,9;7,5;4,8;6,125;5,0;-1;2022;Ágata;Menina;Escola Pública;2006;4,5;16;1;0;Moderada
